comment_body,id,idx,n_agree,n_disagree,percentage
"和其他媒體比起來，報導科學，不會讓泛科學跟別的媒體有什麼差別，他們一樣需要負擔媒體倫理的責任。",1,179,21,0,100
"期待泛科學能和「巷子口社會學」「芭樂人類學」等團隊合作",2,201,7,0,100
"泛科學是商業媒體，並非科學機構或學術單位。",3,202,11,0,100
"我認識這位總編輯，我知道他是媒體研究者，而我知道他這次做錯了。",4,203,5,0,100
"我不會退訂泛科學，因為這是該檢討，但不是不可原諒的錯誤。",5,207,5,0,100
"泛科學雖然沒有隱瞞廣告業配的事實，但是已經用科學描述的寫作方法，為味全保留許多空間。",6,211,5,0,100
"即使我們想要盡快打倒敵人(例如頂新)，我也不希望看見針對敵人的謠言存於眾人耳中。",7,216,5,0,100
"我支持記者組工會。",8,12,165,3,98.21
"當社會大眾集體抵制某一人或組織時，媒體仍應該在掌握其相關新聞事實時，給予報導篇幅，而不是封殺。 但，也不能在報導中迎合大眾胃口，刻意或隱喻式的醜化/扭曲/加深刻板印象，使報導偏離事實。",9,151,52,1,98.11
"國內應該要有第二個像泛科學一樣的科普媒體(平台)",10,77,101,2,98.05
"不標明廣告的業配文，比廣編還要糟糕。",11,3,155,4,97.48
"科學的價值包含追求真實與破除迷信(謠言)兩部份，而連一步的回覆受到謠言所受的傷害亦為科學價值的延伸",12,169,37,1,97.36
"媒體接了廣編以後，也不代表應該替業主說好話，仍應該基於事實做出報導。",13,46,116,4,96.66
"我覺得應該要秉持「懷疑一切」的精神來檢視泛科學與味全的合作案，就像其他科學新聞一樣",14,69,114,4,96.61
"媒體若因為自身的價值選擇，而刻意不報導真相，會讓我覺得很糟糕。",15,149,56,2,96.55
"我們應該思考如何為媒體開源，讓媒體既有錢拿，又不會落入拿人手軟的困境。",16,53,134,5,96.4
"作為媒體，如果有不知道的事情，就該試圖去挖掘，當你決定要報導它（即使是廣編），就該去尋找真相。",17,78,100,4,96.15
"在監督與譴責新媒體的廣編策略之餘，身為讀者，我們願意為了讓優質媒體在不受出資者干涉媒體自主性的情況下付費訂閱嗎？",18,43,105,5,95.45
"就誠實利益揭露這一塊，泛科學比大多數媒體做得好很多，這點不但不應該批評，更應該回頭拍拍手鼓勵他們。誠實揭露沒有什麼不對，非常對。",19,113,81,4,95.29
"泛科學是難得的科普媒體，我希望他做的更好",20,13,170,9,94.97
"無論對方是財團或是政府，媒體都應該站在監督的立場，說真話、批評他們。",21,183,18,1,94.73
