comment_body,id,idx,n_agree,n_disagree,percentage
"我認為現行法律太寬鬆，致使侵犯其它人權（如酒駕、性侵與兒虐者）的犯罪行為一再發生，且多是屢犯，表示法律無法規範他們，而受害者的人生卻因此被終止，受害者家屬也無法好好活著，若是法律未能保障一般大眾的生活權利，鞭刑何不可為之？",1,53,180,0,100
"酒駕『累犯』就是應該要重罰，曾經我也有一個同事明明還在上道安講習酒駕班，但他依然為所欲為，跟朋友聚餐喝酒還是開車。所以社會上需要增設刑法罰方式及制度才能達到嚇阻效果，上上課罰點小錢，根本對他們來說完全不痛不癢的。",2,75,124,0,100
"酒駕零容忍是馬前總統在任時提出的, 台北市長柯P也提過酒駕者洗受害往生者大體的罰則,台灣卻幾乎每天有酒駕,台灣法律罰則過輕,讓人有只要我有錢就不怕酒駕的心態,官員別用世界潮流來阻擋重典,制法者不敢修重典,因為制法者也怕自己犯法,亂世用重典,國人才會有警惕,也才會從官到民都遵守法律",3,85,103,0,100
"台灣就是申張民權民主過頭了.變成別人家的小孩死活不重要! 酒駕與性侵是故意為之.並非無意造成.怎可輕判! 鞭刑只是讓有這些壞念頭的人再次思考 並非抓到只是關一關就放出來的心態 自己會痛才會怕呀!",4,110,87,0,100
"大部分民眾對於司法判決不是太有信心,特別是酒駕肇逃,性侵,幼童傷害的判決,幾乎沒有太重的判罰產生,使民眾對於生活產生不安與恐慌!只能寄望用最原始的懲罰方式來遏制相關的犯罪發生!",5,112,78,0,100
"我認為對累犯應該施以鞭刑，以達嚇阻效果。否則屢次犯罪，已有案底，死豬不怕開水燙的根本有恃無恐",6,148,60,0,100
"要有鞭刑體膚之痛，才能有嚇阻的作用",7,154,44,0,100
"我覺得,很多人都不怕,亂世用重典,這樣對守法的人,年幼的孩子,,惡意侵氾他人才是有懲罰! 坐牢?!沒什麼 支持鞭刑制度",8,156,54,0,100
"我認為當一個人對於酒駕不可為卻明知故犯, 不去為他人的生命負責時, 我們也不需為他被鞭打而感到同情, 因為需要讓他了解痛苦, 產生同理心.",9,163,49,0,100
"我認為應該要有嚴刑峻法，例如鞭刑或是嚴格執行死刑。因為現在已經有不少罪犯都會認定沒有死刑，或是刑罰太輕而故意犯罪（直接表明殺人不會判死）。這已經不屬於『無意識』的情況犯罪，撇除病態或是於無意識狀態下殺（傷）人的案例，應該是可以對於蓄意殺人的罪犯執行鞭刑或死刑，以示警惕。",10,168,43,0,100
"憲法第22條 凡人民之其他自由及權利，不妨害社會秩序公共利益者，均受憲法之保障 。 但現行犯已侵犯他人權益，造成社會恐慌；法律是保障正常人民的權益，而非考量別人觀點而輕放犯罪者，尤其是累犯者。",11,173,37,0,100
"為什麼新聞重覆報導酒駕撞死人的新聞，就是因為罰得不夠重，關起來再放出來還不是同樣在酒駕(我有一親戚就是這樣)。我認為鞭刑一定有其果效，讓加害人體驗一下被害人的痛；鞭刑也不要一次就鞭完，分次進行鞭刑，讓加害人每次在被鞭的時候，想想被害人及其家屬的痛。",12,178,43,0,100
"我覺得現行法律對於酒駕罰則真的太輕,才會有人老是酒駕,挑戰政府公權力,造成其他人生命財產受到傷害,罰款根本起不了作用,支持公開鞕刑或是加重刑事上的處罰 OR 吊車,吊牌,終身不得考照,借他人的車開,借車的人連帶處罰,期望能有效嚇阻這類行為再發生!!",13,188,34,0,100
"這些真的要加重刑罰到連犯罪都怕怕，累犯更是無法原諒，酒駕請終身吊銷駕照且不準重考！",14,190,27,0,100
"另外，我認為法規就是放在那邊，跟人權的關係，我並無法明確定論。然，喝了酒，可以不要酒駕，這怎跟人權會有關係?至於虐待兒少，這根本就是跟侵犯他人人權的人討論人權",15,196,26,0,100
"目前很多罪刑都可以易課罰金來替代，性侵犯(需加重鞭數)或無故侵害兒童者，有錢闗的短, 沒錢關的久，犯罪時不顧及被害者之後的陰影，怎可加害者有人權，被害者人權呢? 鞭刑只是嚴格懲戒讓加害者有實體的感受, 讓社會可以有效減少犯罪。  請查新加坡過去紀錄,是否有效喝阻犯罪率?數字會說話",16,200,21,0,100
"我覺得，累犯該加罪。吸毒販毒犯應該也要",17,201,30,0,100
"鞭刑並不可怕，可怕的是泯滅人性的犯罪者。若不犯錯，何需擔心。",18,202,33,0,100
"沒犯法的人根本不需要理會刑罰會不會落在自己身上，反倒是那些醉酒開車、性侵犯的犯人明明知道知道這樣是不對的卻還是要犯案，根本就是知法犯法，他們都不尊重受害人的人權了，我們為什麼還要去維護他們的人權？所以我支持鞭刑",19,204,30,0,100
"支持鞭刑！受害者有生命、自由與人身安全的權利嗎[第三條]？加害者在行使權利和自由時，有保證對旁人的權利和自由給予應有的承認和尊重嗎[第二十九條]？加害者侵犯旁人的自由、尊嚴、權利時，賦有理性和良心嗎[第一條]？違反人民的意志，是侵犯人權，也是政府喪失權力及民心的基礎[第二十一條]",20,208,20,0,100
"我認為，酒駕肇事層出不窮，身為同是法律工作者亦贊同鞭刑的刑罰；就整體公共安全的角度來看，立法不能只重視犯罪人的人權，而罔顧其他守法市民的人身自由。",21,217,19,0,100
"刑法的意義跟精神是什麼?不就是規範,嚇阻,懲罰嗎?今天守規道矩,何懼任何嚴刑峻法,既然以往的規範,嚇阻,懲罰已經無法保障人民的安全,就需要有更大的手段來保護守法守紀的人民",22,220,11,0,100
"就台灣目前的性侵、詐欺、販毒、酒駕、兒童暴力等實際罰責，對部份犯罪者的影響力實在有限。 大多人總是抱著只要關幾年就放出來，錢繳一繳就沒事，反正不會死，或是附上精神異常就能沒事。 鞭刑或許不能直接的嚇阻，但絕對可以讓大多數的犯罪者的有深深的警惕作用。",23,222,30,0,100
"我認為台灣把人權無限上綱到無法無天的地步，犯罪者的人權居然比被害者還獲得保障，被害者已經死了所以就沒有人權了?那些反對鞭刑的立委諸公或官員就大聲的報出自己的姓名，讓人民來決定你適不適任!!",24,225,20,0,100
"法律是為了保護人民，刑法是為了威嚇犯罪，當今的律法似乎太過輕，導致犯罪者一再犯案，如果鞭刑能通過，相對的犯罪者定會有所謹惕",25,243,13,0,100
"希望這案子不要又流於形式草草結案~",26,244,12,0,100
"打在身上的才會感的別人的痛",27,248,6,0,100
"我覺得鋼刀雖利不斬無罪之人，不會尊重他人，那我們為何要維護他所謂的人權呢，所以我認為亂世用重典，痛才能放到心坎裡面才能記住他，受的教育那麼高了，不知道人權嗎？",28,251,9,0,100
"我認為如今酒駕事件頻傳，大部份原因是因為罪刑太輕，以至於無法達成嚇阻犯罪之效果。 因此加重刑責我覺得是必要的，否則再這樣放任酒駕，只會對社會造成更多的危害。",29,261,10,0,100
