participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,0,7,17,6,4,0,0,0,-1,1,1,1,1,1,-1,0,0,1,-1,0,0,-1,,
1,2,0,10,4,3,-1,,1,-1,-1,0,1,1,0,0,1,,,,,,,,
5,2,0,9,3,4,-1,,1,0,-1,-1,1,1,-1,0,,,,,,,,,
7,3,0,9,4,3,1,,-1,-1,1,0,-1,1,0,1,,,,,,,,,
10,1,0,9,4,3,-1,,1,-1,1,1,0,1,0,-1,,,,,,,,,
11,2,0,9,3,1,-1,,1,0,0,0,1,1,0,0,,,,,,,,,
13,0,0,9,2,3,0,,-1,-1,-1,1,1,0,0,0,,,,,,,,,
14,1,0,16,10,4,-1,,1,0,-1,-1,-1,1,1,0,1,1,1,1,,1,1,,1
17,2,0,14,5,2,-1,,1,0,0,-1,1,1,0,0,1,1,,,,0,0,,0
19,3,1,12,4,6,-1,,-1,0,0,-1,-1,1,-1,1,1,1,-1,,,,,,
20,0,0,8,1,0,0,,0,,0,0,0,1,0,0,,,,,,,,,
21,,0,1,1,0,1,,,,,,,,,,,,,,,,,,
22,0,0,7,0,1,0,,0,0,0,0,,,0,-1,,,,,,,,,
23,1,0,9,5,2,-1,,1,0,1,1,0,1,-1,1,,,,,,,,,
24,2,0,7,3,1,-1,,1,0,,0,1,1,0,,,,,,,,,,
25,2,0,9,3,1,-1,,1,0,0,1,1,0,0,0,,,,,,,,,
26,0,0,7,0,0,0,,0,0,0,0,,0,0,,,,,,,,,,
27,2,0,10,5,1,0,,1,0,0,1,0,1,1,-1,1,,,,,,,,
29,1,0,10,4,2,-1,,1,0,0,1,-1,1,0,0,1,,,,,,,,
30,1,0,13,6,1,-1,,1,0,0,1,0,1,0,0,1,1,0,1,,,,,
31,0,0,8,2,0,0,,0,0,0,,0,1,,0,1,,,,,,,,
32,2,0,7,3,2,-1,,1,0,,-1,1,,0,,1,,,,,,,,
33,,0,1,0,1,-1,,,,,,,,,,,,,,,,,,
34,2,0,10,7,2,0,,1,-1,-1,1,1,1,1,1,1,,,,,,,,
35,1,0,10,5,2,-1,,1,1,1,0,-1,1,0,0,1,,,,,,,,
36,3,0,10,4,3,-1,,-1,1,0,1,-1,0,0,1,1,,,,,,,,
37,0,1,11,2,0,0,,0,1,0,0,0,0,0,0,0,1,,,,,,,
40,1,0,15,9,3,-1,,1,0,-1,1,-1,1,0,1,1,1,1,1,1,,0,,
44,3,0,10,2,7,-1,,1,-1,-1,1,-1,-1,-1,0,-1,,,,,,,,
45,,0,6,4,1,1,,1,,-1,0,,,,1,1,,,,,,,,
46,1,0,10,2,2,-1,,0,0,0,0,-1,1,0,1,0,,,,,,,,
47,1,0,10,3,1,-1,,1,0,0,1,0,0,0,0,1,,,,,,,,
52,3,0,10,2,5,1,,-1,-1,0,1,-1,-1,0,0,-1,,,,,,,,
53,3,0,10,3,4,-1,,-1,0,0,1,0,-1,1,1,-1,,,,,,,,
54,0,0,10,4,2,1,,1,0,0,-1,-1,0,0,1,1,,,,,,,,
56,,0,1,0,0,0,,,,,,,,,,,,,,,,,,
58,2,0,11,10,0,1,,1,0,1,1,1,1,1,1,1,1,,,,,,,
60,1,0,11,7,3,-1,,-1,0,1,1,-1,1,1,1,1,1,,,,,,,
64,1,1,12,4,4,-1,,1,-1,-1,0,-1,1,0,0,1,0,1,,,,,,
66,0,0,7,2,0,0,,,,0,,,0,,0,1,1,0,,,,,,
67,1,0,12,4,1,0,,1,0,0,1,-1,1,0,0,1,0,0,,,,,,
68,,0,1,0,1,-1,,,,,,,,,,,,,,,,,,
69,1,0,12,6,1,-1,,1,0,0,1,0,1,0,1,1,1,0,,,,,,
71,,0,6,0,0,0,,,,,0,,,,0,0,0,0,,,,,,
73,,0,1,1,0,1,,,,,,,,,,,,,,,,,,
75,1,0,12,7,5,-1,,1,-1,-1,1,-1,1,1,-1,1,1,1,,,,,,
77,1,0,12,4,3,-1,,1,0,-1,0,0,0,-1,1,1,1,0,,,,,,
78,,0,5,0,1,0,,,0,,,-1,,,,,0,0,,,,,,
79,1,1,13,3,2,-1,,0,0,0,0,-1,1,0,0,1,0,0,1,,,,,
83,2,0,8,6,0,0,,,1,,1,1,1,,1,1,,0,,,,,,
84,1,0,13,6,5,-1,,0,-1,-1,1,-1,1,0,1,1,-1,1,1,,,,,
86,3,0,13,6,4,1,,1,0,-1,1,-1,0,0,1,1,-1,-1,1,,,,,
87,0,0,8,1,0,0,,0,,,0,0,0,0,,,,0,1,,,,,
