"comment_body","id","idx","n_agree","n_disagree","percentage"
"我認為不只是學生，老師也應該通過每年的學習課程更新教育知識及方法。",1,20,136,0,100
"學生應該要具有思辨的能力，教學有的時候反而應該是引導的作用，給孩子空間去自己思考跟辯證，產生動力去自主學習，探索自己的興趣",2,30,95,0,100
"真正的教育不是教導學生如何贏過別人，而是幫助他們找到最適合自己的位置。",3,37,89,0,100
"我覺得無論是技職體系的重建和考試制度的再造都很重要。但我不認為學校 ( 尤其是高等教育 ) 是為了學生進入既有企業而作準備。應該訓練學生怎麼透過生活與觀察發現問題，並和不同年齡、領域的人組成團隊、整合資源，進而解決問題。但現在這類訓練都以民間或自發性的為主，並未列入正規教育中。",4,67,19,0,100
"最重要的是台灣根本不重視「個體」的發展，學生到底「自己」是適合什麼，有著怎樣的才能；這社會、家庭、企業都要求孩子們要成為某一種特定的人，工程師、醫師、律師、能賺錢的人，這不是教育，是「生產」。結果就是一堆碩士學歷的機械工程師卻只想做高工就能做的設備工程師職位，不懂自己，只想賺錢。",5,72,8,0,100
"除了改革教育制度，就業環境其實也是需要改革，這兩個一直都有很緊密的關係(像醫美現像)，因為學習完需要有一展其才的空間，讓更多人可以學以致用。這包含多元產業(例如漫畫)、公司專注於專業能力，而不是看學歷、專業的尊重。",6,75,5,0,100
"我認為培養學生開創性的思維是最重要的。人生中有許多問題，應該是要靠這種思維，去幫助自己找到答案、去執行、去做、去挑戰不可能，而不是只會背課本上的答案，出社會後沒得背就茫茫然。",7,23,127,1,99.21
"目前的教育最缺乏讓學生探索知識以及訓練學生解決問題的能力，別忘記人會學習只有兩種動機：需要(解決問題)和想要(好奇心)",8,26,99,1,99
"除了學習，心態也很重要",9,28,81,1,98.78
"我覺得課綱的制定，應該要有公開、明確的法制化程序。",10,8,151,2,98.69
"我認為學校不是托兒所，人格養成還是必須回歸家庭。家長不應該逃避責任，漠不關心孩子的成長，然後出事再來說「我孩子很乖的，一定是被誰誰給帶壞⋯」",11,44,64,1,98.46
