participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0,5,16,10,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,-1,1,,,,,
1,,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,
6,1,0,10,8,2,1,1,1,1,1,-1,-1,1,1,1,,,,,,,,,,,
7,0,0,10,7,3,1,-1,1,1,1,1,-1,1,-1,1,,,,,,,,,,,
8,1,0,11,4,3,0,0,1,0,1,-1,-1,1,1,-1,0,,,,,,,,,,
9,1,0,10,7,3,1,1,1,1,1,-1,-1,1,1,-1,,,,,,,,,,,
11,1,0,10,7,1,1,1,1,0,1,0,1,1,1,-1,,,,,,,,,,,
14,1,0,10,5,3,1,0,1,0,-1,-1,-1,1,1,1,,,,,,,,,,,
16,0,0,10,4,0,0,1,0,0,1,0,0,1,0,1,,,,,,,,,,,
20,0,3,14,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,,,,,,
21,1,0,12,10,2,1,1,1,1,1,-1,-1,1,1,1,1,1,,,,,,,,,
26,0,0,14,11,3,1,-1,1,1,1,-1,1,1,1,1,-1,1,1,1,,,,,,,
27,0,0,14,6,2,1,-1,-1,1,1,0,0,0,0,1,0,0,1,1,,,,,,,
29,1,0,14,12,2,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,,,,,,,
30,0,0,19,10,2,0,-1,1,0,1,0,0,1,1,1,1,1,-1,1,1,1,0,0,0,,
32,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,,,
35,0,0,14,6,1,0,-1,1,0,1,0,0,0,1,1,1,0,0,1,,,,,,,
36,,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,
38,0,0,13,4,1,1,,0,0,1,0,0,1,0,0,1,0,-1,0,,,,,,,
40,0,0,10,1,0,0,0,0,0,1,,0,0,0,0,,0,,,,,,,,,
41,1,0,16,9,3,1,1,1,1,1,0,0,1,1,-1,1,0,-1,1,0,-1,,,,,
43,0,0,16,4,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,,,,,
48,1,0,19,8,2,0,1,1,1,0,0,0,0,1,0,1,1,-1,1,-1,1,0,0,0,,
49,0,0,19,9,2,1,-1,1,1,1,0,0,0,0,1,1,1,0,1,-1,1,0,0,0,,
52,0,0,12,6,0,1,,0,0,0,,,1,1,,0,1,,1,0,1,,,0,,
55,0,0,19,8,0,1,0,0,1,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,,
56,0,0,19,0,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
58,0,0,19,13,1,1,0,1,0,1,1,0,0,-1,1,1,0,1,1,1,1,1,1,1,,
61,1,0,15,4,3,0,,0,0,,-1,0,0,1,,1,0,-1,1,-1,0,1,0,,,
64,0,0,19,9,2,1,-1,0,1,1,0,0,0,1,0,1,0,-1,1,1,1,0,0,1,,
73,1,0,19,14,5,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,,
76,,0,5,4,0,1,,1,,1,,,,,,,,,,0,1,,,,,
79,0,0,19,11,4,1,1,1,1,1,1,-1,-1,1,1,0,1,0,0,-1,1,1,-1,0,,
82,0,0,10,5,5,1,,-1,1,1,-1,,-1,,1,-1,-1,,,,1,,,,,
85,0,0,17,7,2,1,,1,1,1,0,0,0,1,0,-1,0,-1,1,1,0,,0,0,,
96,,0,4,4,0,1,1,,1,,,,,,,1,,,,,,,,,,
97,0,0,8,6,0,1,,,0,,,,,0,,1,1,1,1,,,,,1,,
99,0,0,10,3,3,0,,0,1,,-1,,-1,,,0,1,-1,1,,,,0,,,
100,0,0,19,8,2,1,-1,1,1,0,0,0,0,1,1,0,1,0,1,-1,1,0,0,0,,
102,0,0,19,12,4,1,-1,1,1,1,0,0,0,-1,-1,1,1,-1,1,1,1,1,1,1,,
104,0,0,12,0,0,0,0,,0,0,,,,,0,0,,0,0,0,0,0,0,,,
106,0,2,21,10,0,1,1,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1
111,0,0,19,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
112,,0,2,0,0,0,,0,,,,,,,,,,,,,,,,,,
115,0,0,19,4,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,-1,0,0,0,0,,
