participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
0,,9,9,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,1,10,6,4,-1,-1,-1,1,1,1,1,1,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,1,18,9,5,-1,-1,-1,-1,0,1,1,1,1,1,1,1,-1,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,11,33,22,8,-1,1,0,1,1,1,-1,1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,,1,-1,-1,1,-1,0,,,,,,,,,,,,
8,,0,10,5,4,-1,-1,-1,0,1,1,1,1,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,0,15,8,4,0,-1,-1,1,1,1,-1,1,-1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,0,19,13,4,-1,-1,-1,1,,1,1,1,,1,0,1,1,1,,1,1,0,1,,1,-1,1,,,,,,,,,,,,,,,,,,,,,,,
14,,0,16,7,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,2,21,15,5,-1,-1,-1,1,1,1,-1,1,-1,1,1,1,1,1,0,1,1,1,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
17,,0,18,6,8,-1,-1,-1,1,0,0,-1,,-1,-1,-1,1,1,,,1,0,0,,,,-1,1,1,,,,,,,,,,,,,,,,,,,,,,
18,,0,24,15,6,0,-1,-1,1,1,1,0,1,-1,1,1,1,0,1,1,1,1,-1,1,1,1,-1,1,-1,,,,,,,,,,,,,,,,,,,,,,
19,,2,35,24,10,1,-1,-1,1,1,1,-1,1,-1,1,1,1,-1,1,1,-1,1,1,1,-1,1,-1,1,1,1,1,0,1,1,1,-1,1,-1,1,1,,,,,,,,,,,
20,,0,16,1,0,0,0,,1,,,,0,0,0,,0,0,,,0,0,0,,0,0,0,0,,,0,,,,,,,,,,,,,,,,,,,,
24,,0,14,11,3,-1,,,1,1,1,-1,,,,1,1,1,1,1,1,1,,,1,,-1,,,,,,,,,,,,,,,,,,,,,,,,
25,,0,15,8,2,1,,0,,1,1,,,,0,1,,0,,1,-1,1,,,0,1,-1,0,,1,,,,,,,,,,,,,,,,,,,,,
28,,0,26,11,12,-1,-1,-1,1,1,1,-1,1,-1,-1,1,1,-1,1,0,-1,0,-1,1,1,1,-1,0,-1,1,-1,,,,,,,,,,,,,,,,,,,,
29,,0,26,15,3,0,-1,-1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,-1,0,0,1,0,,,,,,,,,,,,,,,,,,,,
30,,0,26,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,1,1,,,,,,,,,,,,,,,,,,,,
31,,0,15,10,4,-1,,-1,1,1,1,,1,,1,-1,,,,0,,,,,,1,-1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
