participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,,9,9,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
1,,0,9,6,3,-1,1,1,1,-1,-1,1,1,1,,,,,,,,,,,,,,
2,,0,9,7,2,-1,1,1,1,1,-1,1,1,1,,,,,,,,,,,,,,
3,,0,23,12,2,0,0,0,1,1,-1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1,-1,0
4,,0,9,6,3,-1,1,1,1,-1,-1,1,1,1,,,,,,,,,,,,,,
5,,0,9,6,3,-1,1,1,1,-1,-1,1,1,1,,,,,,,,,,,,,,
6,,0,3,1,2,-1,1,,,,-1,,,,,,,,,,,,,,,,,
7,,0,11,7,2,1,1,-1,1,1,-1,1,1,1,0,0,,,,,,,,,,,,
8,,0,9,6,1,0,1,1,1,0,-1,1,1,1,,,,,,,,,,,,,,
9,,0,9,8,1,1,1,1,1,1,-1,1,1,1,,,,,,,,,,,,,,
10,,0,9,6,2,-1,1,1,1,0,-1,1,1,1,,,,,,,,,,,,,,
11,,0,9,6,3,-1,1,1,1,-1,-1,1,1,1,,,,,,,,,,,,,,
13,,0,9,5,4,-1,-1,-1,1,1,-1,1,1,1,,,,,,,,,,,,,,
14,,0,9,5,4,-1,1,1,-1,-1,-1,1,1,1,,,,,,,,,,,,,,
15,,2,12,9,2,1,1,1,1,-1,-1,1,1,1,1,,,,,,,1,,,0,,,
16,,0,9,8,0,0,1,1,1,1,,1,1,1,1,,,,,,,,,,,,,
18,,0,10,5,4,-1,-1,-1,1,0,-1,1,1,1,1,,,,,,,,,,,,,
19,,0,10,6,2,-1,1,1,0,0,-1,1,1,1,1,,,,,,,,,,,,,
22,,1,11,9,1,1,1,1,1,1,-1,1,0,1,1,1,,,,,,,,,,,,
24,,3,14,11,3,1,1,1,1,-1,-1,1,1,1,1,-1,1,1,1,,,,,,,,,
25,,0,11,8,2,1,1,1,1,-1,-1,1,1,1,1,0,,,,,,,,,,,,
26,,0,14,12,2,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,,,,,,,,,
27,,0,11,6,0,0,0,,1,,0,1,,1,1,0,1,1,0,,,,,,,,,
29,,0,14,9,5,-1,1,1,1,-1,-1,1,1,1,1,-1,1,1,-1,,,,,,,,,
30,,0,14,8,5,-1,1,1,1,-1,-1,1,1,1,1,-1,0,1,-1,,,,,,,,,
