participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1,1,0,18,5,2,0,0,0,0,1,0,1,1,1,1,-1,0,-1,0,0,0,0,0
3,,0,6,1,1,0,0,0,-1,0,1,,,,,,,,,,,,
4,2,0,9,6,3,-1,-1,-1,1,1,1,1,1,1,,,,,,,,,
5,2,0,9,5,4,-1,-1,-1,-1,1,1,1,1,1,,,,,,,,,
6,,0,4,1,3,-1,-1,-1,,,,,,1,,,,,,,,,
7,2,0,9,4,2,-1,0,-1,1,0,1,1,0,1,,,,,,,,,
8,2,1,18,9,6,-1,-1,-1,1,1,1,0,0,1,1,-1,-1,-1,1,0,1,1,1
9,1,0,10,7,0,0,0,0,1,1,1,1,1,1,1,,,,,,,,
10,2,0,8,5,3,-1,-1,-1,1,1,1,1,,,1,,,,,,,,
11,2,0,10,5,3,-1,-1,0,0,1,1,-1,1,1,1,,,,,,,,
12,1,0,10,8,2,1,-1,-1,1,1,1,1,1,1,1,,,,,,,,
13,2,0,10,7,3,-1,-1,-1,1,1,1,1,1,1,1,,,,,,,,
14,1,0,10,5,0,0,0,0,1,1,1,1,0,0,1,,,,,,,,
15,2,0,10,7,3,-1,-1,-1,1,1,1,1,1,1,1,,,,,,,,
16,2,0,18,10,5,-1,-1,-1,0,1,1,1,1,1,1,-1,1,-1,0,1,0,1,1
17,2,0,10,7,3,-1,-1,-1,1,1,1,1,1,1,1,,,,,,,,
18,,0,4,3,0,0,,,,1,,,,1,1,,,,,,,,
19,0,0,8,2,5,-1,,-1,0,1,1,-1,-1,-1,,,,,,,,,
21,,0,1,1,0,1,,,,,,,,,,,,,,,,,
22,,0,3,2,1,-1,,,,,,,,1,1,,,,,,,,
23,1,0,10,6,0,0,0,0,0,1,1,1,1,1,1,,,,,,,,
24,1,0,10,5,3,-1,-1,0,-1,0,1,1,1,1,1,,,,,,,,
25,1,0,10,9,0,1,1,1,1,1,1,1,0,1,1,,,,,,,,
26,2,3,13,8,5,-1,-1,-1,1,1,-1,1,-1,1,1,1,1,1,,,,,
29,2,0,13,8,4,-1,-1,-1,1,1,1,0,1,1,1,1,1,-1,,,,,
30,2,0,15,7,6,-1,-1,-1,1,1,1,-1,-1,1,1,1,1,-1,,0,0,,
31,2,0,13,8,5,-1,-1,-1,1,1,1,1,1,1,1,-1,1,-1,,,,,
34,1,3,16,9,7,-1,-1,-1,1,-1,-1,1,1,1,1,-1,-1,1,1,1,1,,
35,1,0,16,11,1,0,0,0,1,1,1,1,1,1,1,0,1,-1,1,1,1,,
36,0,1,17,6,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,
37,1,0,17,11,2,0,0,0,0,1,1,1,1,1,1,-1,1,-1,1,1,1,1,
38,,0,5,4,0,1,,0,,,,1,,,1,,,,1,,,,
39,1,1,13,5,0,0,0,0,0,1,1,,,1,0,,1,0,0,,,0,1
43,,0,18,12,3,0,0,0,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
44,,0,18,10,8,-1,-1,-1,-1,1,1,1,1,1,1,-1,-1,-1,-1,1,1,1,1
46,,0,18,13,5,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1
49,,0,18,7,4,0,0,0,0,0,0,1,0,1,1,-1,-1,-1,1,1,1,1,-1
50,,0,9,6,3,-1,-1,-1,,,1,,,1,,1,,1,,1,1,,
53,,0,18,9,4,0,0,0,0,-1,-1,1,1,1,1,0,-1,-1,1,1,1,1,1
54,,0,18,11,1,0,0,0,0,0,1,1,1,1,1,1,0,-1,1,1,1,1,1
55,,0,18,14,4,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,-1,1
56,,0,18,15,3,1,1,1,-1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,1
58,,0,18,12,5,-1,-1,-1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,0
59,,0,18,14,4,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1
27,1,0,10,8,2,,-1,1,1,1,1,1,1,1,1,-1,,,,,,,
41,,0,11,7,3,,-1,-1,,,-1,1,1,1,,1,1,,0,,1,1,
45,,0,1,0,0,,0,,,,,,,,,,,,,,,,
32,1,0,11,7,4,,,-1,-1,-1,1,1,1,1,1,-1,1,1,,,,,
47,,0,7,2,1,,,0,,,1,,0,1,,0,,-1,,0,,,
42,,0,1,1,0,,,,1,,,,,,,,,,,,,,
60,,0,5,3,2,,,,-1,,,,,,,,1,-1,,1,,,1
33,,0,1,1,0,,,,,1,,,,,,,,,,,,,
51,,0,5,5,0,,,,,1,,1,,1,,,1,,,,,,1
57,,0,2,2,0,,,,,,1,,1,,,,,,,,,,
40,,0,2,2,0,,,,,,,1,,,,,,,1,,,,
2,,0,1,1,0,,,,,,,,,1,,,,,,,,,
20,,0,1,1,0,,,,,,,,,1,,,,,,,,,
28,,0,1,1,0,,,,,,,,,,,,1,,,,,,
52,,0,1,1,0,,,,,,,,,,,,,,1,,,,
48,,0,1,1,0,,,,,,,,,,,,,,,,,,1
