participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0,,9,14,4,0,0,0,0,0,0,0,0,0,0,,,1,,,,1,1,,0,1,,,,,,,,,,,,,,,,,,,,,,
1,,0,9,5,2,-1,0,1,1,1,1,1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0,9,8,1,1,-1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,0,9,9,0,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,0,11,9,0,1,1,1,1,1,1,1,1,1,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,
5,,0,9,6,3,-1,-1,1,1,-1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,0,9,7,2,-1,-1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,0,6,5,0,0,,1,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,0,42,26,2,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,-1,0,0,-1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1
9,,0,9,8,0,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,0,9,8,1,-1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,18,42,25,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-1,1,0
12,,0,10,9,1,1,1,-1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,0,13,8,2,-1,-1,1,1,0,0,1,1,0,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,0,10,9,1,1,-1,,1,,1,,1,,1,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,0,3,2,0,1,,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,0,11,10,0,0,,1,,,1,1,1,1,1,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,0,15,11,2,1,0,0,-1,1,1,1,1,1,1,1,1,1,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,0,19,15,4,-1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,,,,,,,,,,,,,,,,,,,,,,,
24,,0,42,24,5,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,-1,1,1,1,-1,0,0,-1,-1,1,-1,1,0,1,1,1,0,1,0,1,1
25,,4,28,24,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,0,,0,,0,1,,,,1,,,,,,1,1,,
27,,0,19,8,2,0,0,1,0,1,1,1,1,0,-1,1,1,0,0,1,0,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,
28,,1,27,26,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,,,,,,1,,,,,1,1,,,0,,
29,,0,19,13,3,-1,1,1,1,1,1,1,-1,0,0,1,0,1,1,1,-1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
33,,0,20,18,2,1,1,-1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
34,,0,11,7,4,1,,1,-1,1,1,1,1,,,-1,,,1,-1,,,-1,,,,,,,,,,,,,,,,,,,,,,,,
38,,4,42,35,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1
41,,0,15,10,1,1,-1,0,1,0,1,,0,1,,1,1,,1,,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,
45,,0,20,16,3,-1,1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,
47,,1,21,14,4,1,1,1,1,1,1,1,-1,1,1,1,-1,0,1,1,-1,0,0,-1,1,1,,,,,,,,,,,,,,,,,,,,,
49,,0,21,12,1,1,0,1,1,0,1,1,1,1,1,0,0,0,1,0,-1,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,,
50,,0,21,15,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,,
51,,0,21,13,3,0,0,0,1,0,1,1,1,-1,1,1,1,1,1,1,-1,1,1,0,-1,1,,,,,,,,,,,,,,,,,,,,,
52,,0,16,6,0,0,,,1,1,1,,0,0,0,0,1,0,0,0,,0,0,,1,1,,,,,,,,,,,,,,,,,,,,,
53,,0,21,20,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
55,,0,21,15,3,1,1,0,1,1,1,1,1,1,1,1,1,-1,1,1,0,-1,0,-1,1,1,,,,,,,,,,,,,,,,,,,,,
56,,0,21,14,2,1,-1,1,1,1,-1,1,1,1,0,0,1,0,1,0,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,
57,,0,21,18,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
59,,0,21,18,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
61,,0,21,18,1,0,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
63,,0,19,15,2,0,0,1,1,1,1,1,1,,1,,1,-1,1,1,1,1,1,1,-1,1,,,,,,,,,,,,,,,,,,,,,
64,,0,14,12,1,1,-1,1,1,1,,,,1,1,1,,1,0,,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,,
66,,0,15,5,5,0,0,,0,,,,,0,1,-1,1,-1,-1,1,,1,1,-1,-1,,0,,,,,,,,,,,,,,,,,,,,
69,,0,17,14,0,1,,1,1,1,1,1,1,1,1,,0,,1,,0,1,1,,,1,,1,0,,,,,,,,,,,,,,,,,,
71,,3,37,14,9,0,0,0,0,-1,1,0,1,1,1,0,-1,-1,0,-1,1,1,0,0,0,1,1,0,1,1,0,-1,-1,-1,0,-1,1,0,-1,1,1,1,,,,,
72,,0,28,24,0,1,0,1,1,,1,1,1,1,1,,1,0,1,1,1,,1,,,1,1,,1,1,1,0,0,,,1,1,1,,1,1,,,1,,,
77,,0,11,9,0,0,,,,,,1,1,,,,,,,,,1,,1,,1,1,1,,1,,,,,,,,,,,,,1,,0,,
79,,0,15,10,0,0,0,0,,1,,1,,0,1,1,,1,,,,1,,,,,,0,,,1,,,1,1,,,,,,,1,,,,,
80,,0,20,9,1,0,-1,1,,,,,0,1,,0,,0,,,,1,0,0,,,,,,,1,,,0,,1,1,0,,1,1,1,0,0,,,
83,,1,41,38,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,
85,,0,14,7,1,0,,-1,1,1,1,,1,,,0,,,,,,,,,,,,0,,1,,,,0,1,,,1,,,0,,,0,,,
