participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,,9,20,9,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,,0,
1,,0,9,8,0,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,,
2,,0,9,8,1,-1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,
3,,2,11,7,0,1,1,1,0,1,0,0,0,1,1,1,,,,,,,,,,,
4,,1,18,13,0,1,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,,,,
5,,0,10,9,1,1,1,1,1,1,1,1,1,-1,1,,,,,,,,,,,,
6,,0,11,9,1,-1,1,1,1,1,1,1,1,1,0,1,,,,,,,,,,,
7,,0,11,9,1,1,1,1,1,1,1,1,1,-1,1,0,,,,,,,,,,,
10,,0,12,10,1,-1,1,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,
11,,0,12,9,3,-1,1,1,1,1,-1,-1,1,1,1,1,1,,,,,,,,,,
12,,0,12,8,1,-1,1,1,0,1,1,1,0,1,1,0,1,,,,,,,,,,
13,,0,12,9,1,0,1,1,0,1,1,1,1,1,1,-1,1,,,,,,,,,,
14,,0,12,11,1,1,-1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
15,,0,12,8,2,-1,1,1,1,1,0,1,1,-1,1,0,1,,,,,,,,,,
16,,0,12,8,4,-1,1,1,1,-1,-1,1,-1,1,1,1,1,,,,,,,,,,
18,,1,13,6,0,0,0,0,1,1,1,0,1,0,0,0,1,1,,,,,,,,,
19,,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
20,,3,20,16,2,1,0,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,0,,
21,,0,14,8,4,1,-1,1,0,1,-1,1,-1,1,1,0,1,1,-1,,,,,,,,
22,,0,16,15,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,,,,,,
23,,0,16,10,3,0,0,1,1,1,-1,1,1,-1,1,0,1,-1,1,1,1,,,,,,
24,,0,16,14,1,1,1,0,1,1,1,1,1,-1,1,1,1,1,1,1,1,,,,,,
25,,0,16,14,2,1,1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,,,,,,
26,,0,16,13,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,,,,,,
27,,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
28,,0,16,16,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,
32,,1,15,11,0,0,0,,1,1,,1,1,0,1,0,,1,1,1,1,1,1,,,,
33,,0,16,11,5,-1,1,1,1,1,1,-1,1,1,-1,-1,1,-1,1,1,1,,,,,,
34,,0,14,9,5,1,1,-1,1,1,,1,,-1,-1,1,-1,1,1,-1,1,,,,,,
35,,0,16,14,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,,,,,,
37,,0,16,11,1,1,0,-1,1,1,1,0,1,0,1,0,1,1,1,1,1,,,,,,
38,,0,16,10,3,-1,1,1,1,0,-1,1,1,0,0,1,1,1,-1,1,1,,,,,,
41,,1,17,14,2,-1,1,1,1,1,1,1,1,-1,0,1,1,1,1,1,1,1,,,,,
