comment_body,id,idx,n_agree,n_disagree,percentage
"我認為農地附近的河川、水圳、地下水的品質應該受到保護，附近的工廠應受到較嚴格的環境評估。農人也應可以申請檢驗水質，如果檢驗後發現汙染超標，政府應追溯汙染源並且以公權力改善之。",1,15,33,0,100
"永續農業的思考除了土地保護外，也要思考如何讓從事農業的人可以賺錢，才可吸引有人從事農業，否則農業人口嚴重老化，未來沒有人會從事農業。",2,16,18,0,100
"我認為農業因應氣候變遷衝擊,及國家自給自足要找出夏季生產多樣性蔬菜區域,遴選及政策性保護 因應氣候衝擊水資源政策保護之重要性影響鏈 集水區->湧泉山形->地下水脈->湧泉->河川->多樣性蔬菜產區->友善生產農法推動->生態保育->微氣候監測與影響->環境復原與改變->食品安全",3,18,8,0,100
"我透過共同購買、農民市集等方式，支持在地農業。",4,3,43,1,97.72
"我覺得政府應該抑制炒作菜價的大盤商（菜蟲）。藉由資訊系統協助讓生產過程更透明化，讓品質、價格公開被檢驗。",5,11,35,1,97.22
"我覺得政府應該在各處設立種子銀行，保存、交流多樣的作物種子，鼓勵農人留種、發展在地特色，並且讓農人不需要長期依賴購買的F1種子。",6,14,29,1,96.66
"我認為農舍炒作問題應該盡快解決，以落實農地農用。",7,4,43,2,95.55
"台灣地小，應發展社區支持型農業，鼓勵小農以少量多樣化的環境友善耕種方式來供應認同的消費者，不僅讓消費者能買得安心，吃出健康，更能讓小農獲得合理的利潤，創造環境、消費者和小農三贏的局面。",8,17,18,1,94.73
"我支持池上、玉里等地方農產品牌。",9,1,34,2,94.44
"我覺得組織個別農民、強化社群力量，才能和跨國資本體制抗衡。",10,7,39,3,92.85
"我認為應該加強食農教育，讓學生體驗農事、珍惜農產。",11,6,37,3,92.5
"我贊成代噴業者以及農藥管理人員證照應該要有領域限制",12,9,34,3,91.89
"我認為國家要有計劃性的生產，且在生產上有區分國內市場、國際出口和自給自足",13,12,30,3,90.9
"我認為透過農夫市集等社群經營的方式，讓生產者和消費者彼此認識、相互信任，是一種比生產履歷和有機認證更可靠的保障。",14,13,28,3,90.32
"台灣的農業應該可以和國際的農產品有一拚之力!",15,10,30,4,88.23
"我支持有產銷履歷、有機驗證等標章的農產品。",16,2,34,6,85
"我認為具有維護生態作用的農地，應該獲得公共補貼。",17,5,34,6,85
"政府對於稻米的收購價格應該要有分級制，並且推廣無農藥無化肥商標，鼓勵大眾餐廳使用，提供消費者選用無農藥和化肥的米，才能讓更多的稻田回復友善耕種！",18,19,5,1,83.33
"我有栽種農作物的經驗。",19,0,18,13,58.06
"我覺得強化有競爭力的農產品、發展自動化農業，才能適應自由貿易體系。",20,8,19,14,57.57
