participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,,8,8,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
1,,0,7,6,1,,1,1,1,1,1,-1,1,,,,,,,,,,,,,,,,,
3,,0,7,6,0,,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,
4,,0,16,14,0,,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,,,,,,,,
5,,0,7,7,0,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
6,,8,15,12,1,,1,-1,1,0,1,0,1,1,1,1,1,1,1,1,1,,,,,,,,,
7,,0,15,14,1,,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,
8,,0,15,9,1,,1,1,0,1,1,1,1,1,0,0,0,1,0,-1,1,,,,,,,,,
12,,1,16,11,3,,1,-1,-1,1,1,1,0,-1,0,1,1,1,1,1,1,1,,,,,,,,
13,,0,15,9,2,,1,-1,0,0,1,0,1,1,1,,-1,1,1,0,1,1,,,,,,,,
14,,0,16,15,1,,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,,,,,,,,
15,,0,16,11,2,,1,1,1,1,-1,1,1,1,1,0,0,1,1,-1,1,0,,,,,,,,
17,,0,16,10,3,,-1,1,1,1,0,1,1,0,1,1,-1,1,1,1,0,-1,,,,,,,,
18,,0,24,20,3,,1,0,1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1
19,,0,4,4,0,,1,,,1,,1,,,,,,,,1,,,,,,,,,,
20,,0,16,14,1,,1,1,1,1,-1,1,1,1,1,0,1,1,1,1,1,1,,,,,,,,
22,,0,16,12,3,,1,1,1,1,-1,1,1,1,1,-1,1,1,1,0,1,-1,,,,,,,,
25,,0,16,12,3,,1,1,1,-1,1,1,1,1,1,-1,1,1,1,-1,1,0,,,,,,,,
27,,0,16,14,2,,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,,,,,,,,
30,,0,16,12,1,,1,1,1,1,1,1,1,1,-1,0,0,1,1,1,1,0,,,,,,,,
31,,0,16,14,2,,1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,
33,,0,16,13,2,,1,1,1,1,1,1,1,1,1,-1,0,1,1,1,-1,1,,,,,,,,
35,,0,16,10,2,,1,1,0,1,1,1,1,0,1,-1,0,1,1,0,-1,1,,,,,,,,
36,,0,13,8,2,,1,,1,,0,1,,1,1,1,0,1,1,0,-1,-1,,,,,,,,
37,,0,16,10,5,,1,0,1,1,1,-1,1,1,1,-1,-1,1,1,1,-1,-1,,,,,,,,
38,,0,16,12,4,,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,1,-1,,,,,,,,
39,,0,15,8,3,,1,1,1,1,0,1,0,1,,-1,-1,1,0,0,1,-1,,,,,,,,
40,,0,16,10,6,,1,1,-1,1,1,1,1,1,-1,-1,-1,1,1,-1,-1,1,,,,,,,,
42,,0,16,12,3,,0,1,-1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,,,,,,,,
43,,0,16,13,0,,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,,,,,,,,
44,,0,16,13,3,,1,1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,-1,,,,,,,,
45,,0,16,10,3,,1,1,1,-1,1,1,1,1,1,0,-1,0,1,0,1,-1,,,,,,,,
46,,0,16,15,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,,,,,,,,
47,,0,14,13,1,,1,1,1,1,1,1,1,1,1,-1,1,1,1,,1,,,,,,,,,
48,,2,7,7,0,,1,,,,1,,1,,,,,1,,1,,,1,1,,,,,,
49,,0,18,14,2,,1,1,1,1,1,0,1,0,-1,-1,1,1,1,1,1,1,1,1,,,,,,
51,,0,18,14,4,,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,-1,-1,,,,,,
52,,0,18,11,0,,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,,,,,,
54,,0,11,7,4,,1,,,,1,1,1,1,1,-1,-1,,1,-1,,,,-1,,,,,,
55,,1,23,17,3,,1,1,1,1,-1,1,1,1,1,-1,1,1,1,-1,1,1,0,0,1,1,1,1,0,
57,,0,14,9,4,,1,1,-1,,,1,1,1,-1,,0,1,1,1,1,-1,-1,,,,,,,
60,,0,14,12,1,,1,,1,0,1,1,1,1,,,-1,1,1,1,,1,1,1,,,,,,
61,,0,18,9,2,,1,1,0,1,0,1,0,1,0,1,0,1,-1,1,1,-1,0,0,,,,,,
