participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
1,,0,9,7,0,1,1,,1,0,1,1,1,0,,1,,,,,,,,,,,,,,,,,,,
3,,1,17,11,5,1,-1,,1,-1,0,1,1,1,,1,1,-1,1,-1,1,1,-1,1,,,,,,,,,,,
4,,0,10,8,1,-1,1,,1,0,1,1,1,1,,1,1,,,,,,,,,,,,,,,,,,
5,,0,10,7,3,-1,1,,1,-1,-1,1,1,1,,1,1,,,,,,,,,,,,,,,,,,
6,,7,24,18,5,1,1,,1,-1,-1,-1,1,1,,1,1,1,1,1,1,1,1,-1,1,0,1,1,1,-1,1,,,,
7,,0,16,11,3,1,1,,1,1,1,1,1,-1,,1,1,-1,1,-1,1,0,0,,,,,,,,,,,,
8,,1,17,13,4,1,1,,1,1,1,-1,1,1,,1,1,-1,1,-1,1,-1,1,1,,,,,,,,,,,
10,,0,17,7,10,1,1,,1,-1,-1,-1,-1,-1,,-1,1,1,1,-1,-1,-1,1,-1,,,,,,,,,,,
13,,0,17,8,2,1,0,,1,0,1,1,1,1,,1,0,0,0,-1,1,0,-1,0,,,,,,,,,,,
15,,0,17,7,2,0,0,,1,0,0,1,1,1,,1,0,-1,0,-1,1,0,0,1,,,,,,,,,,,
17,,6,28,20,2,1,1,,1,1,0,1,1,0,,1,-1,0,1,-1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0
18,,0,8,6,2,-1,,,1,,,,1,,,1,,-1,1,,,1,,,1,,,,,,,,,,
19,,0,22,14,7,-1,-1,,1,-1,1,1,1,1,,1,0,-1,1,-1,1,1,-1,-1,1,1,1,1,1,,,,,,
21,,0,22,12,6,1,0,,1,1,-1,1,1,1,,1,0,-1,-1,-1,1,1,-1,1,-1,1,0,1,0,,,,,,
25,,0,12,11,1,-1,1,,1,,,1,1,,,,,,1,,1,1,1,,1,,,1,1,,,,,,
27,,0,23,7,1,1,1,,1,0,0,0,1,0,,1,0,1,-1,0,0,0,0,0,0,0,0,1,0,0,,,,,
