participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
1,0,0,9,5,2,1,-1,-1,1,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
2,0,0,9,5,1,1,-1,0,1,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
3,0,0,9,4,4,-1,0,1,1,-1,1,1,-1,-1,,,,,,,,,,,,,,,,,,,,,,
5,0,1,10,5,5,1,-1,1,-1,-1,1,-1,1,-1,1,,,,,,,,,,,,,,,,,,,,,
6,1,4,30,27,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
7,1,12,26,23,2,0,1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
8,2,0,11,9,2,1,-1,1,1,1,1,1,1,-1,1,1,,,,,,,,,,,,,,,,,,,,
9,2,0,11,9,0,1,1,1,1,0,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,
11,1,0,26,24,2,1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
12,1,0,21,15,6,1,1,1,-1,-1,1,-1,,-1,1,1,-1,,1,1,1,1,-1,1,1,1,1,,1,,,,,,,
13,1,0,29,27,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,,
15,,0,5,2,0,0,0,,,0,,,,,,,,1,,,,,,1,,,,,,,,,,,,
16,1,0,25,16,4,1,1,1,1,0,0,0,1,-1,1,1,-1,1,1,0,-1,0,-1,1,1,1,1,1,1,1,,,,,,
20,2,0,25,17,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,0,-1,,,,,,
21,2,0,25,17,8,1,1,1,1,-1,1,1,1,1,1,-1,-1,1,1,-1,-1,1,-1,-1,1,1,1,1,1,-1,,,,,,
22,2,0,15,13,1,1,,1,1,1,1,1,,,,,1,-1,0,,,,1,1,1,1,1,,,1,,,,,,
24,2,0,25,22,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,
26,2,0,14,7,0,1,,1,1,1,,1,,,,0,0,,,1,,0,,,1,0,,0,0,0,,,,,,
27,2,0,7,6,0,1,1,,1,,,,1,,,,,,1,1,,,,,,,,0,,,,,,,,
28,0,0,25,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
29,0,0,9,4,5,1,,,1,,,,-1,,1,,,-1,,,,,1,,,-1,,,-1,-1,,,,,,
30,0,0,25,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,
31,0,1,26,3,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,,,,,
32,1,0,26,19,2,1,0,0,1,-1,-1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
36,2,0,31,27,3,1,1,1,1,0,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,1,1,1,1
37,2,0,26,17,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,1,1,0,0,1,,,,,
38,1,0,21,18,0,1,1,1,1,1,1,0,1,0,1,1,1,,1,1,1,,1,,1,1,1,,0,,1,,,,,
40,1,0,26,25,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
41,2,0,26,20,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,,,,,
42,0,0,13,8,4,0,,,1,-1,,,,1,1,,,,,,1,-1,-1,,1,1,,1,-1,,1,,,,,
43,2,0,26,14,3,1,1,1,0,-1,1,1,1,-1,1,0,0,0,1,1,0,1,-1,0,1,1,1,1,0,0,0,,,,,
49,2,0,26,22,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,,,,,
52,2,0,16,11,1,-1,1,,1,,1,1,,1,1,,1,,,,0,0,0,1,1,1,,1,0,,,,,,,
53,2,0,22,10,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,,0,1,0,0,1,1,,0,1,,,,,,,
54,2,0,26,14,5,1,1,1,1,0,1,0,0,1,1,-1,0,1,1,1,-1,0,0,-1,1,1,1,0,-1,-1,1,,,,,
55,1,0,26,21,2,1,1,1,0,0,1,-1,1,-1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,,,,,
56,,0,3,2,0,0,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,
57,2,2,31,21,3,-1,1,1,1,1,1,-1,1,1,1,0,0,1,1,1,0,1,0,1,1,0,1,1,0,-1,1,1,1,1,1,0
59,2,0,27,17,5,1,1,1,1,-1,-1,1,1,0,1,0,1,1,1,-1,0,-1,1,1,1,0,1,1,-1,0,1,1,,,,
60,1,0,9,7,0,0,,,,0,,,,,,,,,1,,1,1,,1,,1,,,,,1,1,,,,
64,2,0,27,20,7,-1,-1,-1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,,,,
65,0,0,9,4,1,0,0,,,-1,,,0,,1,,1,,,,,,,,,,,,,1,1,0,,,,
67,,0,28,23,5,1,-1,-1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,,,
72,,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,0,7,7,0,1,,,,,,,1,,,,,,,1,1,,,,,,1,,,,,1,,1,,
77,,0,29,27,1,1,1,1,0,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
79,,0,21,17,2,0,1,,1,,1,1,1,-1,1,1,-1,1,1,1,1,,1,1,,,,1,0,,,1,1,1,,
81,,0,3,2,0,1,,,,,,1,,,,,,,,,,,,,,,0,,,,,,,,,
88,,1,31,20,1,1,1,1,0,0,0,0,1,-1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1
89,,0,10,10,0,1,1,,1,,,,,,,,,,1,,1,,,1,,,,1,1,1,,,,,,1
91,,0,31,14,1,0,0,0,0,1,0,0,0,0,1,-1,0,1,0,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,1,1
92,,0,31,16,0,1,1,1,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,1,1,1,1,0,0,0,1,1,0,1,0
