participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10
0,,1,1,1,0,1,,,,,,,,,,
1,,3,4,4,0,1,1,1,1,,,,,,,
2,,0,2,1,1,-1,1,,,,,,,,,
3,,0,2,1,1,-1,1,,,,,,,,,
4,,0,2,1,1,-1,1,,,,,,,,,
5,,0,2,1,0,0,1,,,,,,,,,
6,,0,2,1,1,-1,1,,,,,,,,,
7,,0,2,0,0,0,0,,,,,,,,,
8,,0,4,2,2,-1,1,-1,1,,,,,,,
9,,0,4,3,0,1,1,0,1,,,,,,,
10,,4,8,7,1,1,1,-1,1,1,1,1,1,,,
11,,0,11,0,1,0,0,-1,0,0,0,0,0,0,0,0
12,,0,5,1,2,-1,,-1,0,,0,1,,,,
13,,1,11,7,1,-1,1,0,1,1,1,1,1,1,0,0
14,,1,10,8,0,1,0,1,1,1,0,1,1,1,1,
16,,0,10,5,1,0,1,-1,1,1,1,0,0,0,1,
17,,0,10,8,1,-1,1,1,1,1,0,1,1,1,1,
18,,0,6,4,2,1,,,1,-1,,1,1,-1,,
20,,0,6,5,1,1,1,,1,,-1,1,,,1,
21,,0,10,8,0,0,1,1,0,1,1,1,1,1,1,
22,,1,11,7,4,1,-1,-1,1,-1,1,1,1,1,-1,1
23,,0,10,5,5,-1,-1,-1,-1,1,1,1,-1,1,1,
25,,0,11,8,3,-1,1,-1,-1,1,1,1,1,1,1,1
27,,0,5,4,1,1,1,,1,,,1,,,-1,
29,,0,11,0,1,0,0,0,0,0,0,0,0,0,0,-1
30,,0,9,3,2,-1,,-1,0,1,0,1,1,0,,0
31,,0,11,9,1,-1,1,1,1,1,1,0,1,1,1,1
32,,0,7,5,1,1,,,0,1,,1,,-1,1,1
33,,0,11,11,0,1,1,1,1,1,1,1,1,1,1,1
34,,0,11,8,3,-1,1,-1,-1,1,1,1,1,1,1,1
35,,0,11,9,1,1,1,1,1,1,0,-1,1,1,1,1
36,,0,11,6,1,1,-1,0,1,0,0,0,1,1,1,1
37,,0,11,7,1,-1,1,1,1,0,1,1,1,0,1,0
38,,0,8,0,0,0,0,,,0,0,0,0,0,,0
41,,0,11,7,0,0,1,1,1,1,0,1,0,1,1,0
42,,0,11,10,0,1,1,1,1,1,1,1,1,1,1,0
43,,0,5,2,2,-1,0,,1,,,-1,,1,,
19,,0,5,4,1,,-1,1,,,1,1,,,1,
15,,0,1,1,0,,,,1,,,,,,,
26,,0,1,1,0,,,,1,,,,,,,
28,,0,1,1,0,,,,1,,,,,,,
39,,0,1,1,0,,,,1,,,,,,,
24,,0,1,1,0,,,,,,,,,1,,
40,,0,1,1,0,,,,,,,,,,1,
