participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9
0,0,6,9,0,0,0,0,0,0,0,0,0,0,0,
1,0,0,6,4,2,1,-1,1,-1,1,1,,,,
2,0,0,6,5,1,1,-1,1,1,1,1,,,,
3,0,0,6,3,0,0,0,1,0,1,1,,,,
4,0,0,6,4,2,1,-1,1,-1,1,1,,,,
5,0,0,6,6,0,1,1,1,1,1,1,,,,
7,0,0,5,3,2,1,-1,,-1,1,1,,,,
8,0,0,6,4,1,1,-1,1,1,0,1,,,,
9,0,0,6,2,3,-1,-1,1,-1,0,1,,,,
10,0,0,6,3,0,0,1,0,0,1,1,,,,
11,0,0,6,5,1,1,-1,1,1,1,1,,,,
12,0,0,6,4,2,1,-1,1,-1,1,1,,,,
13,0,0,6,5,1,1,1,1,1,-1,1,,,,
15,0,0,6,1,0,0,0,1,0,0,0,,,,
16,0,0,6,5,0,1,0,1,1,1,1,,,,
18,0,0,6,4,2,1,-1,1,-1,1,1,,,,
20,0,0,7,5,0,1,0,1,1,1,1,,0,,
21,0,0,6,4,0,1,0,1,1,1,0,,,,
22,0,0,6,4,2,1,1,1,1,-1,-1,,,,
23,0,0,7,5,0,1,1,1,0,1,1,0,,,
24,0,0,3,2,0,0,,1,,1,,,,,
28,0,0,7,4,0,1,0,1,1,1,0,0,,,
30,0,0,7,5,1,0,1,1,1,-1,1,1,,,
32,0,0,4,2,1,1,,,-1,1,,0,,,
33,0,0,8,4,0,1,0,1,0,0,1,1,0,,
34,0,0,5,5,0,1,1,1,,1,,1,,,
35,1,0,8,7,1,1,1,1,-1,1,1,1,1,,
37,1,1,8,1,0,0,0,0,0,0,0,0,1,,
38,1,0,8,3,4,-1,-1,1,-1,1,-1,0,1,,
39,0,0,8,3,1,0,-1,1,0,1,1,0,0,,
41,0,1,9,7,0,1,1,1,1,1,1,0,0,1,
42,0,0,4,0,0,0,,,,,,0,0,0,
43,0,0,9,6,2,1,-1,1,-1,1,1,1,0,1,
44,0,0,9,2,0,0,1,0,0,0,1,0,0,0,
46,0,0,9,1,0,0,0,0,0,0,1,0,0,0,
48,0,0,9,6,2,1,0,1,1,-1,1,1,-1,1,
49,1,0,6,6,0,1,,1,1,1,,1,1,,
50,0,0,9,4,2,1,-1,1,-1,1,1,0,0,0,
51,,0,2,1,1,1,,,-1,,,,,,
53,0,0,8,7,0,1,1,1,1,1,1,0,,1,
55,0,0,9,4,0,0,1,1,1,1,0,0,0,0,
56,0,0,6,4,1,-1,1,1,0,1,,,,1,
57,0,0,9,7,1,1,-1,1,1,1,1,1,0,1,
59,1,0,9,2,7,-1,-1,-1,1,-1,-1,-1,1,-1,
62,0,0,9,8,1,1,-1,1,1,1,1,1,1,1,
17,0,0,4,3,1,,1,1,,-1,1,,,,
19,0,0,2,2,0,,1,1,,,,,,,
47,,0,1,0,1,,-1,,,,,,,,
52,,0,1,0,0,,0,,,,,,,,
58,1,0,7,2,5,,-1,-1,1,,-1,-1,1,-1,
14,0,0,3,2,0,,,1,0,1,,,,,
40,,0,1,1,0,,,1,,,,,,,
54,,0,2,0,0,,,0,,,0,,,,
60,,0,2,2,0,,,1,1,,,,,,
25,0,0,2,2,0,,,,1,,1,,,,
26,0,0,1,1,0,,,,1,,,,,,
31,,0,3,2,1,,,,-1,1,1,,,,
36,,0,1,0,1,,,,-1,,,,,,
6,0,0,1,1,0,,,,,1,,,,,
64,0,0,2,2,0,,,,,1,,,,1,
27,0,1,1,1,0,,,,,,,1,,,
29,0,0,1,0,0,,,,,,,0,,,
45,0,0,1,1,0,,,,,,,1,,,
61,0,0,1,1,0,,,,,,,1,,,
63,0,1,1,1,0,,,,,,,,,,1
