participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0,7,7,0,0,0,0,0,0,0,0,0,,,,,,,,
1,1,2,9,7,1,-1,1,1,1,0,1,1,1,1,,,,,,
2,1,1,10,7,1,0,0,1,1,1,1,-1,1,1,1,,,,,
3,1,0,9,7,1,1,0,1,1,1,-1,1,1,1,,,,,,
4,1,0,9,7,2,-1,1,1,1,1,-1,1,1,1,,,,,,
5,1,0,9,8,1,-1,1,1,1,1,1,1,1,1,,,,,,
6,1,0,2,2,0,1,,,,,1,,,,,,,,,
8,1,0,9,7,2,1,1,-1,1,1,1,1,1,-1,,,,,,
9,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
10,1,0,10,6,2,1,0,1,1,1,-1,1,0,1,-1,,,,,
11,1,0,7,6,1,1,1,1,,1,,,1,1,-1,,,,,
12,1,0,10,7,1,1,1,1,1,1,0,0,1,1,-1,,,,,
13,1,0,7,7,0,1,1,,1,1,1,1,1,,,,,,,
14,1,1,11,9,2,1,1,-1,1,1,1,1,1,1,-1,1,,,,
15,0,0,11,6,4,1,0,-1,1,1,-1,-1,1,1,-1,1,,,,
16,1,1,12,8,2,1,1,1,1,1,1,0,-1,-1,0,1,1,,,
19,1,0,8,4,1,0,,0,,1,1,-1,,0,,1,1,,,
20,1,0,12,10,2,1,1,1,1,1,1,1,1,1,-1,1,-1,,,
22,0,0,12,4,2,0,1,0,0,1,-1,1,0,0,-1,1,0,,,
24,,0,4,2,2,1,,1,,,,-1,,,-1,,,,,
25,1,0,12,12,0,1,1,1,1,1,1,1,1,1,1,1,1,,,
29,1,0,9,4,3,1,1,,0,1,,-1,,1,-1,,-1,0,,
30,0,0,13,6,7,-1,-1,1,-1,1,1,-1,1,-1,-1,1,-1,1,,
31,0,0,13,6,7,-1,-1,1,-1,1,1,-1,1,-1,-1,1,-1,1,,
32,1,0,13,10,3,1,1,1,1,1,-1,1,1,1,-1,1,-1,1,,
33,0,0,10,3,3,0,,0,-1,0,-1,,,1,0,1,-1,1,,
35,1,0,8,4,0,0,1,1,,1,0,0,,,0,1,,,,
36,,0,3,1,2,-1,,,,,,-1,1,,,,,,,
37,0,0,12,1,1,0,0,0,0,1,-1,0,0,0,0,,0,0,,
38,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
39,0,0,14,6,5,0,1,-1,-1,1,-1,0,1,-1,-1,1,1,1,0,
40,0,0,13,6,7,-1,-1,-1,-1,1,-1,1,1,-1,-1,1,1,1,,
41,1,0,12,7,0,1,1,1,0,0,0,1,,1,0,0,1,1,,
42,0,0,13,0,11,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,,
43,0,0,13,8,5,-1,1,1,-1,1,1,-1,1,-1,-1,1,1,1,,
44,,0,4,0,0,0,,0,,,,,0,,,0,,,,
45,0,1,14,6,6,1,-1,0,-1,1,-1,0,1,-1,-1,1,-1,1,1,
46,1,0,12,6,0,1,1,1,,0,0,0,0,1,0,0,1,1,,
47,1,0,13,10,3,1,1,1,1,1,-1,1,1,-1,-1,1,1,1,,
48,0,0,13,6,6,1,1,0,-1,1,-1,1,-1,-1,-1,1,-1,1,,
50,0,0,13,7,6,1,1,-1,-1,1,-1,-1,1,1,-1,1,-1,1,,
53,1,0,13,7,2,1,0,0,1,1,1,-1,1,0,-1,1,1,0,,
56,1,0,14,8,3,1,1,1,0,1,0,0,-1,1,-1,1,-1,1,1,
57,0,0,9,6,3,1,,1,1,1,-1,,-1,-1,,,1,1,,
58,0,0,14,10,4,1,1,-1,1,1,-1,1,1,-1,-1,1,1,1,1,
59,1,0,15,9,2,1,1,0,1,1,0,-1,1,1,-1,1,1,0,0,1
62,1,0,14,9,1,0,1,1,1,0,1,0,1,0,-1,1,1,1,1,
63,0,1,15,7,6,-1,-1,0,1,1,-1,0,1,-1,-1,1,1,1,-1,1
64,,0,3,0,0,0,,0,,,,,,,,,,,,0
65,1,0,15,11,2,1,1,-1,1,1,-1,1,1,1,1,0,0,1,1,1
66,1,0,15,10,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0
67,1,0,9,2,0,1,0,0,,0,0,,,1,,,,0,0,0
68,1,0,15,9,1,1,0,0,1,1,1,0,0,1,-1,1,0,1,1,1
69,1,0,15,12,3,1,1,1,-1,1,-1,1,1,1,-1,1,1,1,1,1
70,1,0,15,9,3,1,1,-1,0,0,-1,1,1,1,-1,1,1,0,1,1
71,1,0,15,5,1,1,1,0,0,0,0,0,0,0,-1,1,1,0,1,0
72,1,0,9,7,2,1,1,,-1,1,,1,-1,,1,1,1,,,
73,1,0,12,9,0,1,1,1,1,1,0,1,,,0,1,0,1,1,
75,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,1,0,15,7,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1
78,0,0,9,0,0,0,0,0,0,,,0,0,,0,,,0,,0
79,0,0,15,9,5,-1,1,1,1,1,-1,1,-1,0,-1,1,-1,1,1,1
21,0,0,7,3,3,,1,1,-1,,,,1,-1,-1,0,,,,
34,,0,4,2,0,,0,1,,,0,,,,,1,,,,
49,,0,1,0,0,,0,,,,,,,,,,,,,
51,,0,3,2,0,,0,1,,,,,,,,,,1,,
55,,0,6,0,6,,-1,,,,-1,,,,-1,-1,-1,,-1,
61,1,0,10,10,0,,1,1,1,1,1,,1,,,1,1,1,1,
18,0,0,10,1,0,,,0,0,0,0,0,0,0,0,1,0,,,
26,,0,2,2,0,,,1,,,,,,,,,1,,,
17,,0,3,1,2,,,,1,,-1,,,,,,-1,,,
60,,0,2,1,0,,,,,0,,,,1,,,,,,
74,,0,3,1,0,,,,,1,,0,,,0,,,,,
7,0,0,1,0,1,,,,,,-1,,,,,,,,,
23,,0,1,1,0,,,,,,1,,,,,,,,,
27,,0,1,0,1,,,,,,-1,,,,,,,,,
54,,0,5,0,0,,,,,,0,,,0,0,0,0,,,
52,,0,1,1,0,,,,,,,1,,,,,,,,
76,,0,1,1,0,,,,,,,,,,,,1,,,
28,,1,1,1,0,,,,,,,,,,,,,1,,
