comment_body,id,idx,n_agree,n_disagree,percentage
"我們需要地方政府的 Join 平台謝謝",1,8,18,0,100
"關於一些公民參與政策的平台宣傳，能不能多跟教育部合作呢？讓這些資訊能多傳達給有意參與的學生們阿",2,10,13,1,92.85
"開放政府會拉近公民與政客之間的距離嗎？",3,3,26,5,83.87
"金融稅制好複雜，有錢人總是有方式鑽漏洞。有可能推動開放金融稅制嗎？",4,9,10,2,83.33
"數位科技提供嶄新的溝通方式，讓不同理念的人也可以理性對話？",5,1,24,6,80
"保守的公務員思維是開放府最大的阻礙嗎？",6,2,22,8,73.33
"完全開放政府是烏托邦的空想，但適度開放可以箝制劣質的台灣代議民主",7,7,10,5,66.66
"雖說是開放政府，但好像是又變成是少部分人參與的事情",8,6,18,12,60
"開放資訊會侵犯我的私隱嗎？",9,4,5,15,25
"開放政府會讓行政變得更沒效率？",10,0,4,24,14.28
"開放政府只是烏托邦的空想，不可能實現。",11,5,2,29,6.45
