participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,
1,0,0,7,2,4,1,0,,-1,,-1,-1,1,,-1,,,,,,,,,,,,,,
2,0,0,22,6,7,1,0,-1,-1,1,-1,-1,1,1,-1,0,0,0,1,0,0,0,-1,-1,0,0,1,,
3,0,0,8,3,1,-1,1,0,0,,0,0,,1,1,,,,,,,,,,,,,,
4,0,0,23,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,0,0,23,9,4,-1,1,-1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,-1,-1,0,1,1,1,
6,0,0,10,6,4,-1,1,1,1,-1,-1,-1,1,1,1,,,,,,,,,,,,,,
7,1,0,10,3,4,0,0,-1,0,-1,-1,-1,1,1,1,,,,,,,,,,,,,,
8,0,0,10,3,2,0,0,1,0,-1,-1,0,1,0,1,,,,,,,,,,,,,,
10,0,0,8,5,1,1,0,1,1,0,,-1,1,1,,,,,,,,,,,,,,,
11,0,0,6,0,0,0,0,0,,,0,,,0,0,,,,,,,,,,,,,,
12,0,0,9,5,1,0,,-1,1,0,0,1,1,1,1,,,,,,,,,,,,,,
13,0,0,10,7,1,1,0,1,1,0,1,-1,1,1,1,,,,,,,,,,,,,,
15,3,2,23,18,2,1,1,1,0,1,-1,1,1,1,1,1,0,1,1,1,1,0,-1,1,1,1,1,1,
18,1,0,23,8,4,-1,0,-1,0,-1,0,-1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1,1,
20,,0,4,0,0,0,0,,,,,,,,,,,,,0,,0,,,,,,,
23,0,0,22,5,12,-1,-1,-1,-1,-1,-1,1,1,1,-1,0,1,0,-1,-1,,0,-1,-1,0,-1,0,1,
24,0,0,23,11,9,-1,1,1,-1,-1,-1,1,1,1,1,-1,1,0,-1,-1,-1,0,1,0,-1,1,1,1,
25,3,0,23,21,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,
26,0,0,10,6,3,-1,,1,,,,-1,1,,,-1,0,,1,,,1,,1,,,,1,
27,3,0,23,14,4,1,1,1,0,0,-1,1,0,1,1,-1,-1,1,1,0,1,0,-1,1,1,1,1,1,
31,1,0,21,13,8,1,-1,-1,,-1,-1,-1,1,-1,1,1,1,,1,-1,1,1,1,1,1,1,-1,1,
32,0,0,12,6,2,1,1,0,-1,,-1,,,1,,0,,,,,,0,,1,0,1,1,,
34,0,0,12,5,5,0,,,,-1,-1,-1,,,1,-1,,,,1,0,,-1,,,1,1,1,
35,2,0,23,11,12,1,-1,1,-1,1,-1,1,1,1,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,1,
36,3,1,23,14,2,0,1,0,1,0,-1,0,1,1,1,1,1,1,1,1,0,0,-1,,0,1,1,1,1
37,2,0,22,12,7,-1,1,1,1,,1,1,1,1,-1,,-1,1,1,1,0,-1,-1,-1,0,1,0,-1,1
17,0,0,12,4,0,,1,,0,,,0,1,1,1,0,,,,,,0,,0,0,0,0,,
28,,0,1,1,0,,1,,,,,,,,,,,,,,,,,,,,,,
29,,0,4,2,2,,1,,,,,,,,,-1,,,1,,,,-1,,,,,,
30,3,0,10,8,2,,1,1,,,,,,,,,-1,,1,,1,1,,-1,1,1,,1,
38,0,0,13,4,4,,1,,-1,,-1,,,,1,,,0,1,,0,0,-1,0,,0,1,,-1
21,,0,5,4,0,,,0,,,,,1,,1,,,,1,,,,1,,,,,,
22,0,0,9,5,0,,,0,,,,,,1,,0,,,1,0,,0,1,,,1,1,,
16,,0,3,1,1,,,,0,,-1,,,,,,,,1,,,,,,,,,,
33,,0,1,1,0,,,,1,,,,,,,,,,,,,,,,,,,,
19,,0,5,2,1,,,,,1,-1,,1,0,,,,,,,,,,,0,,,,
9,0,0,1,1,0,,,,,,,,,1,,,,,,,,,,,,,,,
14,0,1,1,1,0,,,,,,,,,,,,,,1,,,,,,,,,,
