participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6
0,0,7,7,0,0,0,0,0,0,0,0,0
1,1,0,7,4,3,1,1,-1,1,1,-1,-1
2,0,0,2,0,0,0,,,,0,,
5,1,0,7,5,2,1,1,-1,1,1,-1,1
6,0,0,6,3,1,1,-1,,1,0,1,0
7,1,0,7,4,3,1,1,-1,1,-1,-1,1
8,1,0,7,4,2,1,0,-1,1,1,-1,1
9,1,0,7,4,3,1,1,-1,1,-1,-1,1
10,0,0,7,4,0,1,0,1,1,0,0,1
11,1,0,7,6,0,1,1,1,1,1,0,1
12,0,0,7,1,4,0,-1,-1,1,0,-1,-1
13,0,0,7,4,3,1,-1,-1,1,-1,1,1
14,1,0,7,4,3,1,1,-1,1,-1,-1,1
15,0,0,7,2,3,1,-1,1,0,0,-1,-1
16,1,0,7,5,2,1,1,-1,1,1,-1,1
18,0,0,7,3,3,-1,1,1,1,-1,-1,0
19,0,0,7,4,3,1,1,1,1,-1,-1,-1
20,1,0,7,4,3,1,1,-1,1,1,-1,-1
21,1,0,7,3,4,1,1,-1,1,-1,-1,-1
22,1,0,7,5,2,1,1,1,-1,1,-1,1
23,1,0,7,4,0,1,1,0,1,1,0,0
24,0,0,7,2,3,1,-1,0,1,0,-1,-1
26,0,0,7,4,3,-1,1,1,1,1,-1,-1
4,0,0,1,0,0,,0,,,,,
3,1,0,1,0,1,,,-1,,,,
17,,0,1,1,0,,,,1,,,
25,,0,3,1,1,,,,0,,-1,1
