idx,timestamp,uid
0,2018-10-04 20:13:34+08,43
1,2018-10-04 20:28:22+08,48
2,2018-10-04 20:33:30+08,43
3,2018-10-04 20:36:24+08,43
4,2018-10-04 20:36:52+08,43
5,2018-10-04 20:38:09+08,43
6,2018-10-04 20:41:57+08,48
7,2018-10-04 20:47:12+08,43
8,2018-10-04 20:48:32+08,43
9,2018-10-04 20:50:27+08,43
10,2018-10-04 20:52:15+08,43
11,2018-10-04 20:53:45+08,43
12,2018-10-04 20:55:07+08,43
13,2018-10-04 20:56:13+08,43
14,2018-10-04 20:59:31+08,43
15,2018-10-04 21:01:08+08,43
16,2018-10-04 21:06:36+08,48
17,2018-10-04 21:22:18+08,65
18,2018-10-05 07:05:49+08,93
19,2018-10-06 04:59:43+08,43
20,2018-10-06 05:01:51+08,43
21,2018-10-06 05:04:00+08,43
22,2018-10-06 05:06:59+08,43
23,2018-10-06 05:08:18+08,43
24,2018-10-06 05:10:17+08,43
25,2018-10-06 05:11:04+08,43
26,2018-10-06 05:11:49+08,43
27,2018-10-06 05:12:07+08,43
28,2018-10-06 05:12:47+08,43
29,2018-10-06 05:13:12+08,43
30,2018-10-06 05:13:56+08,43
31,2018-10-06 05:17:16+08,43
32,2018-10-06 05:17:59+08,43
33,2018-10-06 05:18:58+08,43
34,2018-10-06 05:19:30+08,43
35,2018-10-06 05:19:58+08,43
36,2018-10-11 08:01:41+08,219
37,2018-10-11 08:04:36+08,220
38,2018-10-11 08:06:38+08,219
39,2018-10-11 08:06:43+08,220
40,2018-10-11 08:08:05+08,220
41,2018-10-11 08:09:18+08,220
42,2018-10-11 08:10:32+08,220
43,2018-10-11 08:11:27+08,220
44,2018-10-11 08:12:33+08,220
45,2018-10-11 08:13:05+08,220
46,2018-10-11 08:14:28+08,220
47,2018-10-11 18:54:36+08,230
48,2018-10-11 18:58:13+08,230
49,2018-10-11 18:59:51+08,230
50,2018-10-11 19:01:01+08,230
51,2018-10-11 19:01:37+08,230
52,2018-10-11 19:03:03+08,230
53,2018-10-11 19:06:44+08,230
54,2018-10-11 19:10:41+08,230
55,2018-10-11 21:24:28+08,221
56,2018-10-12 09:15:40+08,210
57,2018-10-12 15:57:47+08,233
58,2018-10-12 18:55:28+08,210
59,2018-10-12 18:56:43+08,210
60,2018-10-18 01:03:28+08,74
61,2018-10-22 08:39:58+08,247
62,2018-10-22 08:43:09+08,247
63,2018-10-29 20:28:44+08,221
64,2019-03-01 22:51:48+08,375
