comment_body,id,idx,n_agree,n_disagree,percentage
"規定一定要去超商取貨不合時宜，酒很重且葡萄酒需溫控保存，可以宅配才符合網路賣酒的立意。",1,59,25,0,100
"能夠在網路上迅速買到自己喜歡的酒，是很方便的事",2,21,93,2,97.89
"網路賣酒趨勢是未來的通路，但不建議全都超商取貨，少數幾瓶可以超商取貨，但如果是高單價或要冰鎮的葡萄酒就要宅配方式以確保安全，其實從基本源頭把關做起，有自然憑證，信用卡，支付寶都是年滿法定才能開通的付款方式，如果宅配公司能配合把關總比超商取貨來的好吧？宅配送貨簽名至少可以追溯收件人",3,44,69,3,95.83
"網路上購買酒是一種買酒的方法, 實體購買與網路購買都有執行與規範的準則, 可以實行. 對人的控管, 甚至是對酒的品種控管的好, 飲酒與品酒就是文化, 網路上拓展文化是知識與人文的表現, 甚至開放的網路價格與資訊, 可以讓買酒的人士多方比較, 分享.",4,46,60,3,95.23
"我覺得在網站上利用信用卡等方式確認滿十八歲，再於送貨時要求出示證件，由滿十八歲者簽收即可。限定取貨地點即失去網路購物的便利性。",5,62,17,1,94.44
"管理做到好才是王道, 好的管理與知識與文化的傳播才是正圖! 歐洲人天天品酒, 但確有高度社會規範與價值認同!! 刀不會自己殺人, 飛機不會自己掉下來, 酒不會自己產生社會問題!! 酒中有學問, 有知識, 有文化! 好好的管理會是社會上一大進步的動力!",6,48,60,4,93.75
"我覺得網路是否適合賣酒的問題，若與部分人酗酒問題混為一談，十分不合宜。",7,41,71,5,93.42
"酒駕是個人的行為，連便利商店都可以買到酒，網路開放賣酒與酒駕連結太過於薄弱!",8,23,99,7,93.39
"酒駕與網路賣酒是兩件事，不能混為一談",9,22,96,7,93.2
"交貨方式限超商取貨很不實際，因為酒很重，有別於其他適合透過超商取貨的書、衣服等，酒類單件商品平均重達1kg，且為玻璃易碎品，自己搬運實在累人，且也不會每次只買一瓶，希望能同時開放宅配到府、超商取貨甚至特約店家(大賣場、餐廳等等)取貨!!",10,34,78,6,92.85
"網路進行交易比現實更容易掌握購買者的人別和商品動向，反而更能阻絕氾濫的問題。且未成年使用違禁品事，真正應該把關的是家庭功能，找業者麻煩純屬因噎廢食。",11,53,38,3,92.68
"屁孩如果要買酒方法有一大堆，就像買菸一樣，一堆屁孩騎機車抽菸。",12,25,68,6,91.89
"我覺得收貨簽收人才是網路賣酒唯一需要管制的關卡，就像實體店面只管「誰來買」、而非誰要喝！",13,32,70,7,90.9
