comment_body,id,idx,n_agree,n_disagree,percentage
"我認為必須建立共通的資料格式
（來源：https://www.slideshare.net/LisaLin56/20180515-97792439 P.12）",1,4,30,0,100
"我認為索取資料的人應該要做很多功課，但政府也需要將資料統整與明確化",2,18,25,0,100
"我覺得各級部會應有一致的做法教學，避免增加風險（如機敏資料沒人管、不機敏的資料卻要簽三層）（目前行政院內有電子儀表板，每個部會都要交，實際實行的狀況就是有資訊中心的人都有做，沒資訊中心的就都空白），但也不能因此而去做懲處，會變成不教而殺。（如國發會資訊服務設計準則）",3,22,21,0,100
"地方政府的資料也應該納入並有統一格式",4,23,23,0,100
"目前部分比較敏感的單位透過燒光碟的方式處理資料（如監聽資料），光碟唯讀、還要貼上資產條碼追蹤，我認為應該有更好的方法。",5,24,22,0,100
"政府資料應導入版本控管概念",6,26,21,0,100
"希望改善資料蒐集的流程，第一手記錄就電子化。（例如警察開單用的 PDA ）",7,29,21,0,100
"我認為目前政府開放諮詢小組的決議沒有強制力，執行力不足",8,30,16,0,100
"我認為應該要提供第一線公務人員工具，從資料製作階段開始就能產出「人類可讀」及「機器可讀」的資料格式。",9,37,13,0,100
"我認為開放資料的品質要提升、格式要統一。如果取得資料後發現品質無法使用、或是格式有誤，應該要可以要求更新。",10,38,15,0,100
"我認為公文電子系統應該開放API，以便未來將各項公務業務系統與電子公文流程介接。",11,41,12,0,100
"我認為絕大多數的資料產製於第一線公務人員，而這群第一線人員大多不具備資料科學或資訊素養，對於開放資料的製作有執行上的困難。",12,43,13,0,100
"我認為開放資料的內容有錯，應該是要更新，而不是究責。",13,46,14,0,100
"資訊業務應向上集中, 避免不同局處間重複冗事, 地方政府的開放資料業務應可由資訊局統籌(資科局等)",14,48,8,0,100
"政府資訊公開法所規定應公開的10項政府資訊 (條約、施政計畫、預算等) 已經不符民間使用需求",15,49,6,0,100
"我認為資料開放關鍵績效指標（KPI）的制定對於公務機關推動開放資料能達到設定具體目標的效果，但KPI的訂定必須有所考量，因為同一套標準可能並不適用於所有的機關。",16,55,6,0,100
"當政府內的部門想要取得另一個部門的資料而運用科技減少繁瑣的公文往來時不要討論到太過複雜的東西。",17,56,7,0,100
"當政府內的部門想要取得另一個部門的資料時比較大的問題在於人的層面而不在於技術層面。",18,59,6,0,100
