comment_body,id,idx,n_agree,n_disagree,percentage
"我覺得應該審核人員。乘客保障。駕駛權益都要兼顧。最重要還是安全第一",1,40,607,16,97.43
"我覺得政府應該能藉由面對 Uber 的挑戰，同時改善計程車的監管與評價制度，讓計程車的司機與乘客也能獲得如 Uber 一樣的服務品質。",2,111,379,14,96.43
"我覺得載客的司機都應該保意外險。",3,7,676,32,95.48
"我覺得 UberX 自用車載客時，應該要投保汽車乘客責任險。",4,16,680,34,95.23
"我覺得政府應該對運輸業設置公平的管制規則，而不是保護特定的既得利益者。",5,65,521,40,92.86
"我認為，Uber是市場需求的反應，目前應該找出問題，正視問題，解決問題。",6,139,220,18,92.43
"我覺得現在已經是一個科技時代，很多事物及法令規範都應該應時應地治宜，而不是墨守成規。",7,68,522,43,92.38
"我覺得 Uber 公司既然收取收續費，有責任提供乘客保險，需要時可以另外制定保險種類。",8,104,378,38,90.86
"我認為，共享經濟能降低社會資源的浪費。",9,61,491,52,90.42
"我覺得繳稅是一個企業在台灣經營的義務，Uber或其新創模式再麼優秀，在台灣的所得都應該要盡到合法納稅義務。",10,141,196,23,89.49
"我覺得每一位客人的行程都可以用GPS定位記錄，如果發生事情時UBER公司可以調閱行程記錄協助警方辦案",11,126,245,29,89.41
"我認為，UBER 是一個可以創造彈性就業機會的商業模式。",12,62,504,60,89.36
"Uber 是境外公司，我認為 Uebr 有責任針對在台灣繳稅的問題提出足以說服台灣社會的因應方式。",13,64,497,63,88.75
"我覺得所有營業車輛都應該一律採取乘客評分機制，而不是只靠政府核發營業許可。",14,96,371,50,88.12
"將Uber合法，能讓司機與乘客都能受到更好的保障，只希望台灣政府能擬定法規",15,133,210,29,87.86
"我認為，用網路工具（例如app）叫車，可以降低司機故意繞路的機率。",16,59,497,71,87.5
"外縣市白牌車坐地起價，時有所聞，若能像über 有公開透明的費率，并且不會亂繞路，會吸引更多乘客搭乘",17,135,207,30,87.34
"我贊成uber合法化，讓消費者多一個選擇，讓計程車業者多一份良性競爭的動力，更讓兼職管道多方面開放。",18,153,130,19,87.24
"Uber有機會搭乘高級車款(Ex.Audi.BMW.Benz.....etc.)，計程車多半為國產車，有著不同的新鮮感。",19,67,462,69,87
"應修改讓自用車的乘客保險也能保障乘客的權益或由UBER統一投保",20,150,145,22,86.82
"交通部應於線上公開2014年調查 Uber 是否違法的報告。",21,41,494,76,86.66
"我覺得現在的計程車服務品質參差不齊，跟市場未提供足夠的公平競爭環境有關。",22,63,474,75,86.33
"我覺得計程車已受政府補貼油價，現在公會仍然決定調漲車費，應該開放 UberX 競爭，讓市場決定需求。",23,119,332,53,86.23
"我覺得法律僅須訂定一個能保護乘客、司機其他用路人的最低標準，其他應交由市場機制來決定。",24,143,174,28,86.13
"我覺得既然出了北中高，台灣其他鄉鎮市的計程車幾乎都是白牌車，搭車時總是坐地起價，不如立法全數納入規範。",25,140,190,31,85.97
"我覺得類似共乘，但由開車的人向共乘者收費的概念，是可行的。",26,46,543,89,85.91
"我覺得UBER與計程車車隊的評分系統最大差別是：UBER的評分系統公開透明且貫徹執行，分數低於4.5的駕駛一定會被停機，也因此確保了車輛品質。相反的，計程車車隊的評分系統完全是黑箱，輸入方式不僅不利於乘客使用，評分系統也無鑑別度可言。即使按完後，乘客也無法得知車隊是否有收到評分。",27,172,73,12,85.88
"我覺得UBER是個讓乘客與司機雙方都能受益的新服務。",28,53,491,81,85.83
"我覺得 Uber 應該向營業地的政府納稅。",29,8,575,101,85.05
"我有小型車駕駛執照。",30,14,534,95,84.89
"我覺得要替UberX找到出口，就該訂定有別於職業小客車和計程車的法規，讓非營業車，只是要共乘或補貼油錢的，兼職性質的自用車，有一個遵守的遊戲規則",31,106,341,61,84.82
"我覺得雖然加成計費會讓人比較不想搭Uber，加成計費依照供需法則去變化是合理的。",32,87,377,71,84.15
"我覺得既有的資格審查，無法保證計程車司機的服務品質",33,145,152,29,83.97
"我覺得Uber司機開車時較不會像計程車司機亂鑽，當客人要下車時計程車會直接切換車道不顧後方來車安危，但Uber司機會慢慢切換車道至路邊。",34,66,393,76,83.79
"我覺得Uber透過應用程式客訴時，問題獲得解決的效率比投訴計程車來得高。",35,90,355,70,83.52
"我覺得任何的創新服務以達營利目的的確是社會進步的重要過程，但必須完全在法律的規範下合法經營，才能避免因非法營運而產生社會公平及社會安全等問題．",36,51,444,88,83.45
"我覺得 UberX 平均而言品質較計程車好",37,39,486,99,83.07
"我覺得 Uber 平台的爭端解決紀錄應呈報給交通部。",38,9,522,118,81.56
"我覺得目前管理職業客車的法規對分享經濟很不友善。應該要盡速修法，比較環保。",39,151,110,25,81.48
"我覺得傳統的計程車現在都要加入車隊才有辦法生存，這也不是政府規定的，UberX顛覆了這項不成文的規定，覺得很棒！",40,84,385,90,81.05
"我覺得搭計程車是ㄧ件要冒險的事情，因為車輛品質參差不齊，司機的品質也參差不齊。",41,137,174,41,80.93
"我覺得UBER是一個共享平台的概念，而非僱員的概念。UBER是以一個平台管理者的角度來監督在平台上的合作司機及乘客",42,71,418,102,80.38
"我覺得 我搭乘uber就是因為司機素質都普遍比較好，不像計程車司機 跟他說我要到幾個不同地區 還會臭臉迎人，就算有法規給他們，素質還是很差！希望uber維持現狀⋯",43,121,212,53,80
